"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","bulk_density","cf","cconc","bd_filled","horizon_simple","cf_1_values","ccontent"
"1","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Lv/S",6,7,1,0.16,0,53.95,"yes","L",NA,863.2
"2","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Fm",2,6,4,0.16,0,21.77,"yes","F",NA,1393.28
"3","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Hh",0,2,2,0.16,0,41.5,"yes","H",NA,1328
"4","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Aeg",-3,0,3,1.477,0,0.47,"no","A",NA,208.257
"5","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Bmg",-35,-3,32,1.585,0,0.21,"no","B",NA,1065.12
"6","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","BC",-60,-35,25,1.585,0,0.16,"no","B",NA,634
"7","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Cg",-110,-60,50,1.4735,0,0.18,"no","C",NA,1326.15
"8","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Lv",12,13,1,0.16,0,53.33,"yes","L",NA,853.28
"9","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Fm",11,12,1,0.16,0,50.78,"yes","F",NA,812.48
"10","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Hh",0,11,11,0.16,0,49.88,"yes","H",NA,8778.88
"11","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Ae",-7,0,7,1.321,0,0.35,"no","A",NA,323.645
"12","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Bm1",-25,-7,18,1.349,0,0.58,"no","B",NA,1408.356
"13","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Bm2",-55,-25,30,1.546,0,0.25,"no","B",NA,1159.5
"14","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","BC",-85,-55,30,1.505,0,0.09,"no","B",NA,406.35
"15","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Cg",-135,-85,50,1.549,0,0.03,"no","C",NA,232.35
"16","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Lv",19,20,1,0.11,0,55.39,"yes","L",NA,609.29
"17","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Fm",15,19,4,0.11,0,54.29,"yes","F",NA,2388.76
"18","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Hh",0,15,15,0.11,0,57.66,"yes","H",NA,9513.9
"19","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Aeg",-9,0,9,0.93,0,3.74,"yes","A",NA,3130.38
"20","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Bhcj",-20,-9,11,0.86,0,2.73,"yes","B",NA,2582.58
"21","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Bhg",-59,-20,39,0.86,0,3.8,"yes","B",NA,12745.2
"22","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Bg",-62,-59,3,0.86,0,3.36,"yes","B",NA,866.88
"23","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Bfc",-65,-62,3,1.17,0,1.57,"yes","B",NA,551.07
"24","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","BC",-90,-65,25,1.71,0,0.41,"yes","B",NA,1752.75
"25","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Cg",-135,-90,45,1.74,0,0.43,"yes","C",NA,3366.9
"26","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Lv/S",19,20,1,0.11,0,55.72,"yes","L",NA,612.92
"27","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Fm",15,19,4,0.11,0,53.76,"yes","F",NA,2365.44
"28","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Hh",0,15,15,0.11,0,52.2,"yes","H",NA,8613
"29","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Aeg",-12,0,12,0.607,0,7.24,"no","A",NA,5273.616
"30","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Bhc",-72,-12,60,1.403,0,1.7,"no","B",NA,14310.6
"31","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Bfc",-75,-72,3,1.442,0,2.14,"no","B",NA,925.764
"32","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","BC",-125,-75,50,1.442,0,0.43,"no","B",NA,3100.3
"33","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Cg",-150,-125,25,1.542,0,0.21,"no","C",NA,809.55
"34","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Lv/S",39,40,1,0.11,0,56.2,"yes","L",NA,618.2
"35","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Fm",35,39,4,0.11,0,50.51,"yes","F",NA,2222.44
"36","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Hh1",23,35,12,0.11,0,53.21,"yes","H",NA,7023.72
"37","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Hh2",20,23,3,0.11,0,50.9,"yes","H",NA,1679.7
"38","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Hh3",10,20,10,0.11,0,55.46,"yes","H",NA,6100.6
"39","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Hh4",0,10,10,0.11,0,47.58,"yes","H",NA,5233.8
"40","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Ae",-10,0,10,1.385,0,4.42,"no","A",NA,6121.7
"41","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Bhc1",-35,-10,25,1.385,0,1.96,"no","B",NA,6786.5
"42","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Bhc2",-82,-35,47,1.542,0,1.42,"no","B",NA,10291.308
"43","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Bfc",-85,-82,3,1.542,0,1.67,"no","B",NA,772.542
"44","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","BC",-130,-85,45,1.447,0,0.25,"no","B",NA,1627.875
"45","SANBORN & MASSICOTTE 2010","BC09-07","NA",54.06908333,-131.67722222,"HIGH","NA",NA,NA,NA,NA,0,NA,"no","N",NA,NA
"46","SANBORN & LAVKULICH 1989","BANFIELD","Ferro-Humic Podzol",48.83333333,-125.13333333,"LOW","Oi",13,14,1,0.11,0,49.5,"yes","O",NA,544.5
"47","SANBORN & LAVKULICH 1989","BANFIELD","Ferro-Humic Podzol",48.83333333,-125.13333333,"LOW","Oe",8,13,5,0.11,0,48.3,"yes","O",NA,2656.5
"48","SANBORN & LAVKULICH 1989","BANFIELD","Ferro-Humic Podzol",48.83333333,-125.13333333,"LOW","Oa",0,8,8,0.11,0,47.3,"yes","O",NA,4162.4
"49","SANBORN & LAVKULICH 1989","BANFIELD","Ferro-Humic Podzol",48.83333333,-125.13333333,"LOW","E",-3,0,3,0.93,0,4.7,"yes","E",NA,1311.3
"50","SANBORN & LAVKULICH 1989","BANFIELD","Ferro-Humic Podzol",48.83333333,-125.13333333,"LOW","Bhs1",-10,-3,7,1.71,0,12.4,"yes","B",NA,14842.8
"51","SANBORN & LAVKULICH 1989","BANFIELD","Ferro-Humic Podzol",48.83333333,-125.13333333,"LOW","Bhs2",-35,-10,25,1.71,0,8.5,"yes","B",NA,36337.5
"52","SANBORN & LAVKULICH 1989","BANFIELD","Ferro-Humic Podzol",48.83333333,-125.13333333,"LOW","Bhs3",-51,-35,16,1.71,0,13.9,"yes","B",NA,38030.4
"53","SANBORN & LAVKULICH 1989","CARNATIONCREEK1","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Oa",6,11,5,0.11,0,49.8,"yes","O",NA,2739
"54","SANBORN & LAVKULICH 1989","CARNATIONCREEK1","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Oa",0,6,6,0.11,0,46.7,"yes","O",NA,3082.2
"55","SANBORN & LAVKULICH 1989","CARNATIONCREEK1","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","E",-2,0,2,0.93,0,5.5,"yes","E",NA,1023
"56","SANBORN & LAVKULICH 1989","CARNATIONCREEK1","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs2",-20,-2,18,1.71,0,7.1,"yes","B",NA,21853.8
"57","SANBORN & LAVKULICH 1989","CARNATIONCREEK1","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs2",-35,-20,15,1.71,0,9,"yes","B",NA,23085
"58","SANBORN & LAVKULICH 1989","CARNATIONCREEK1","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs3",-45,-35,10,1.71,0,7,"yes","B",NA,11970
"59","SANBORN & LAVKULICH 1989","CARNATIONCREEK1","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs4",-55,-45,10,1.71,0,11.9,"yes","B",NA,20349
"60","SANBORN & LAVKULICH 1989","CARNATIONCREEK1","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bms",-68,-55,13,1.71,0,1.3,"yes","B",NA,2889.9
"61","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Oi",9,11,2,0.11,0,47,"yes","O",NA,1034
"62","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Oe",6,9,3,0.11,0,51.7,"yes","O",NA,1706.1
"63","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Oa",0,6,6,0.11,0,50.2,"yes","O",NA,3313.2
"64","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs1",-20,0,20,1.71,0,14.6,"yes","B",NA,49932
"65","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs2",-77,-20,57,1.71,0,5.9,"yes","B",NA,57507.3
"66","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs3",-123,-77,46,1.71,0,9.7,"yes","B",NA,76300.2
"67","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs4",-133,-123,10,1.71,0,15.7,"yes","B",NA,26847
"68","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs5",-170,-133,37,1.71,0,11.3,"yes","B",NA,71495.1
"69","SANBORN & LAVKULICH 1989","CARNATIONCREEK2","Ferro-Humic Podzol",48.91666667,-124.98333333,"LOW","Bhs6",-210,-170,40,1.71,0,9.9,"yes","B",NA,67716
"70","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","LF",2.5,5,2.5,0.14,0,45.94,"yes","L",NA,1607.9
"71","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","H",0,2.5,2.5,0.14,0,36.94,"yes","H",NA,1292.9
"72","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bfh",-15,0,15,1.38,77,3.8,"yes","B",NA,1809.18
"73","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bf1",-30,-15,15,1.38,73,2.23,"yes","B",NA,1246.347
"74","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bf2",-45,-30,15,1.38,73,2.1,"yes","B",NA,1173.69
"75","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bf3",-60,-45,15,1.38,76,2.06,"yes","B",NA,1023.408
"76","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bfgj1",-75,-60,15,1.38,76,1.8,"yes","B",NA,894.24
"77","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","Bfgj2",-90,-75,15,1.38,84,1.36,"yes","B",NA,450.432
"78","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","BCd",-105,-90,15,1.38,53.6666666666667,0.43,"yes","B",NA,412.413
"79","LEWIS 1976","AD","Duric Humo-Ferric Podzol",48.85,-124.25,"LOW","C",105,105,0,NA,0,NA,"no","C",NA,NA
"80","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","LF",7.5,10,2.5,0.11,0,43.07,"yes","L",NA,1184.425
"81","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","H",0,7.5,7.5,0.11,0,43.07,"yes","H",NA,3553.275
"82","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bhf",-15,0,15,0.86,46,7.1,"yes","B",NA,4945.86
"83","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfh1",-30,-15,15,0.86,44,4.42,"yes","B",NA,3193.008
"84","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfh2",-45,-30,15,0.86,42,3.88,"yes","B",NA,2903.016
"85","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfh3",-60,-45,15,0.86,43,3.86,"yes","B",NA,2838.258
"86","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfh4",-75,-60,15,0.86,54,4.92,"yes","B",NA,2919.528
"87","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","Bfhgj",-90,-75,15,0.86,50,5.74,"yes","B",NA,3702.3
"88","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","BCd",-105,-90,15,1.71,66,0.77,"yes","B",NA,671.517
"89","LEWIS 1976","AW","Duric Ferro-Humic Podzol",50.7,-128.03333333,"LOW","C",105,105,0,NA,0,0.31,"no","C",NA,NA
"90","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","LF",4,7.5,3.5,0.14,0,44.6,"yes","L",NA,2185.4
"91","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","H",0,4,4,0.14,0,32.92,"yes","H",NA,1843.52
"92","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bf1",-20,0,20,1.38,40,1.69,"yes","B",NA,2798.64
"93","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bf2",-40,-20,20,1.38,55,1.55,"yes","B",NA,1925.1
"94","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bf3",-60,-40,20,1.38,60,1.71,"yes","B",NA,1887.84
"95","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bfgj1",-80,-60,20,1.38,63,2.1,"yes","B",NA,2144.52
"96","LEWIS 1976","BD","Duric Humo-Ferric Podzol",50.2,-125.51666667,"LOW","Bfgh2",-112,-80,32,1.38,55,3.41,"yes","B",NA,6776.352
