"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","depth_100","bulk_density","cf","cconc","ccontent_1m","slope","cconc_y","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"1","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Lv",27,28,1,1,0.11,0,63.3479792368106,696.827771604917,63.3479792368106,31.6739896184053,"L",0,696.827771604917,6.96827771604917,76.6510548765408
"2","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Fm",24,27,3,3,0.11,0,54.7188187599142,1805.72101907717,18.2396062533047,27.3594093799571,"F",0,1805.72101907717,18.0572101907717,595.887936295466
"3","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Hh1",10,24,14,14,0.11,0,57.878259344796,8913.25193909859,4.13416138177114,28.939129672398,"H",0,8913.25193909858,89.1325193909858,13726.4079862118
"4","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Hh2",0,10,10,10,0.11,0,58.8742044965628,6476.16249462191,5.88742044965628,29.4371022482814,"H",0,6476.16249462191,64.7616249462191,7123.7787440841
"5","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Bhcj",-10,0,10,10,0.86,0,9.89171943061245,8506.87871032671,0.989171943061245,4.94585971530623,"B",0,8506.87871032671,85.0687871032671,73159.1569088097
"6","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Ae",-12,-10,2,2,0.93,0,0.382794070036822,71.1996970268489,0.191397035018411,0.191397035018411,"A",0,71.1996970268489,0.711996970268489,132.431436469939
"7","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Bfc",-15,-12,3,3,0.86,0,1.75242190965788,452.124852691733,0.584140636552627,0.87621095482894,"B",0,452.124852691733,4.52124852691733,1166.48211994467
"8","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Bmcj1",-70,-15,55,55,1.71,0,0.370399153394316,3483.60403767354,0.00673453006171484,0.185199576697158,"B",0,3483.60403767354,34.8360403767354,327632.959743197
"9","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","BCg1",-138,-70,68,68,1.71,0,0.0924639133740204,474.339875608725,0.00135976343197089,0.0462319566870102,"B",0,1075.17038471311,10.7517038471311,55156.2407357825
"10","Calvert Island - total C - additional pedons (2014-2016)","BC14-05","Placic Humic Podzol",51.644361,-128.145306,"HIGH","Bmcj2",-140,-138,2,40,1.71,0,0.355593172064893,0,0.177796586032446,0.177796586032446,"B",0,121.612864846193,1.21612864846193,0
