"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","bulk_density","cf","cconc","ccontent_1m","depth_100","bd_filled","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"1","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Lv/S",6,7,1,0.16,0,53.95,863.2,1,"yes","L",0,863.2,8.632,138.112
"2","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Fm",2,6,4,0.16,0,21.77,1393.28,4,"yes","F",0,1393.28,13.9328,891.6992
"3","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Hh",0,2,2,0.16,0,41.5,1328,2,"yes","H",0,1328,13.28,424.96
"4","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Aeg",-3,0,3,1.477,0,0.47,208.257,3,"no","A",0,208.257,2.08257,922.786767
"5","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Bmg",-35,-3,32,1.585,0,0.21,1065.12,32,"no","B",0,1065.12,10.6512,54022.8864
"6","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","BC",-60,-35,25,1.585,0,0.16,634,25,"no","B",0,634,6.34,25122.25
"7","SANBORN & MASSICOTTE 2010","BC09-04","Gleyed Dystric Brunisol",54.07572222,-131.68611111,"HIGH","Cg",-110,-60,50,1.4735,0,0.18,1060.92,50,"no","C",0,1326.15,13.2615,78163.281
"8","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Lv",12,13,1,0.16,0,53.33,853.28,1,"yes","L",0,853.28,8.5328,136.5248
"9","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Fm",11,12,1,0.16,0,50.78,812.48,1,"yes","F",0,812.48,8.1248,129.9968
"10","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Hh",0,11,11,0.16,0,49.88,8778.88,11,"yes","H",0,8778.88,87.7888,15450.8288
"11","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Ae",-7,0,7,1.321,0,0.35,323.645,7,"no","A",0,323.645,3.23645,2992.745315
"12","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Bm1",-25,-7,18,1.349,0,0.58,1408.356,18,"no","B",0,1408.356,14.08356,34197.700392
"13","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Bm2",-55,-25,30,1.546,0,0.25,1159.5,30,"no","B",0,1159.5,11.595,53777.61
"14","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","BC",-85,-55,30,1.505,0,0.09,406.35,30,"no","B",0,406.35,4.0635,18346.7025
"15","SANBORN & MASSICOTTE 2010","BC09-01","Gleyed Dystric Brunisol",54.02630556,-131.98222222,"HIGH","Cg",-135,-85,50,1.549,0,0.03,69.705,50,"no","C",0,232.35,2.3235,5398.65225
"16","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Lv",19,20,1,0.11,0,55.39,609.29,1,"yes","L",0,609.29,6.0929,67.0219
"17","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Fm",15,19,4,0.11,0,54.29,2388.76,4,"yes","F",0,2388.76,23.8876,1051.0544
"18","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Hh",0,15,15,0.11,0,57.66,9513.9,15,"yes","H",0,9513.9,95.139,15697.935
"19","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Aeg",-9,0,9,0.93,0,3.74,3130.38,9,"yes","A",0,3130.38,31.3038,26201.2806
"20","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Bhcj",-20,-9,11,0.86,0,2.73,2582.58,11,"yes","B",0,2582.58,25.8258,24431.2068
"21","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Bhg",-59,-20,39,0.86,0,3.8,12745.2,39,"yes","B",0,12745.2,127.452,427474.008
"22","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Bg",-62,-59,3,0.86,0,3.36,866.88,3,"yes","B",0,866.88,8.6688,2236.5504
"23","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Bfc",-65,-62,3,1.17,0,1.57,551.07,3,"yes","B",0,551.07,5.5107,1934.2557
"24","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","BC",-90,-65,25,1.71,0,0.41,1752.75,25,"yes","B",0,1752.75,17.5275,74930.0625
"25","SANBORN & MASSICOTTE 2010","BC09-02","Placic Humic Podzol",54.02252778,-131.97555556,"HIGH","Cg",-135,-90,45,1.74,0,0.43,748.2,45,"yes","C",0,3366.9,33.669,58584.06
"26","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Lv/S",19,20,1,0.11,0,55.72,612.92,1,"yes","L",0,612.92,6.1292,67.4212
"27","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Fm",15,19,4,0.11,0,53.76,2365.44,4,"yes","F",0,2365.44,23.6544,1040.7936
"28","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Hh",0,15,15,0.11,0,52.2,8613,15,"yes","H",0,8613,86.13,14211.45
"29","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Aeg",-12,0,12,0.607,0,7.24,5273.616,12,"no","A",0,5273.616,52.73616,38413.018944
"30","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Bhc",-72,-12,60,1.403,0,1.7,14310.6,60,"no","B",0,14310.6,143.106,1204666.308
"31","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Bfc",-75,-72,3,1.442,0,2.14,925.764,3,"no","B",0,925.764,9.25764,4004.855064
"32","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","BC",-125,-75,50,1.442,0,0.43,1550.15,50,"no","B",0,3100.3,31.003,111765.815
"33","SANBORN & MASSICOTTE 2010","BC09-03","Placic Humic Podzol",54.07275,-131.68861111,"HIGH","Cg",-150,-125,25,1.542,0,0.21,0,50,"no","C",0,809.55,8.0955,0
"34","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Lv/S",39,40,1,0.11,0,56.2,618.2,1,"yes","L",0,618.2,6.182,68.002
"35","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Fm",35,39,4,0.11,0,50.51,2222.44,4,"yes","F",0,2222.44,22.2244,977.8736
"36","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Hh1",23,35,12,0.11,0,53.21,7023.72,12,"yes","H",0,7023.72,70.2372,9271.3104
"37","SANBORN & MASSICOTTE 2010","BC09-06","Placic Humic Podzol",54.022,-131.70916667,"HIGH","Hh2",20,23,3,0.11,0,50.9,1679.7,3,"yes","H",0,1679.7,16.797,554.301
