"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","depth_100","bulk_density","cf","cconc","ccontent_1m","slope","cconc_y","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"1","Hakai DSM pedon master data file","BC15-21","Orstein Humic Podzol",51.64361111,-128.14305556,"HIGH","Om1",8,15,7,7,0.12,0,32.6870452634322,2745.7118021283,4.66957789477603,16.3435226317161,"O",0,2745.7118021283,27.4571180212831,2306.39791378778
"2","Hakai DSM pedon master data file","BC15-21","Orstein Humic Podzol",51.64361111,-128.14305556,"HIGH","Om2",0,8,8,8,0.12,0,23.0241349639597,2210.31695654013,2.87801687049496,11.5120674819798,"O",0,2210.31695654013,22.1031695654013,2121.90427827853
"3","Hakai DSM pedon master data file","BC15-21","Orstein Humic Podzol",51.64361111,-128.14305556,"HIGH","Bh",-14,0,14,14,0.86,20,3.30470136122647,3183.08835113334,0.236050097230462,1.65235068061324,"B",20,3183.08835113334,39.7886043891667,38324.3837476454
"4","Hakai DSM pedon master data file","BC15-21","Orstein Humic Podzol",51.64361111,-128.14305556,"HIGH","Bhc1",-36,-14,22,22,0.86,20,3.17604026232818,4807.25454105993,0.144365466469463,1.58802013116409,"B",20,4807.25454105993,60.0906817632492,90953.2559168539
"5","Hakai DSM pedon master data file","BC15-21","Orstein Humic Podzol",51.64361111,-128.14305556,"HIGH","Bmc",-50,-36,14,14,0.86,30,0.932783316523066,786.14977916564,0.0666273797516476,0.466391658261533,"B",30,786.14977916564,11.2307111309377,9465.2433411543
"6","Hakai DSM pedon master data file","BC15-21","Orstein Humic Podzol",51.64361111,-128.14305556,"HIGH","Bhc2",-70,-50,20,20,0.86,30,1.10308037575401,1328.10877240783,0.0551540187877005,0.551540187877005,"B",30,1328.10877240783,18.972982462969,22843.4708854146
"7","Hakai DSM pedon master data file","BC15-21","Orstein Humic Podzol",51.64361111,-128.14305556,"HIGH","BC",-85,-70,15,15,1.73,30,0.71022357370579,1290.12112163657,0.0473482382470527,0.355111786852895,"B",30,1290.12112163657,18.4303017376653,33478.6431064689
"8","Hakai DSM pedon master data file","DSM18","Gleyed Humo-Ferric Podzol",51.6098,-127.97309,"HIGH","Fm",22,28,6,6,0.14,0,54.8661587862961,4608.75733804887,9.14435979771602,27.433079393148,"F",0,4608.75733804887,46.0875733804887,3871.35616396105
"9","Hakai DSM pedon master data file","DSM18","Gleyed Humo-Ferric Podzol",51.6098,-127.97309,"HIGH","Hh1",12,22,10,10,0.14,0,50.192225544639,7026.91157624946,5.0192225544639,25.0961127723195,"H",0,7026.91157624946,70.2691157624946,9837.67620674925
"10","Hakai DSM pedon master data file","DSM18","Gleyed Humo-Ferric Podzol",51.6098,-127.97309,"HIGH","Hh2",4,12,8,8,0.14,0,37.6351195762308,4215.13339253785,4.70438994702885,18.8175597881154,"H",0,4215.13339253785,42.1513339253785,4720.94939964239
