"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","depth_100","bulk_density","cconc","cf","ccontent_1m","bd_filled","horizon_simple","cf_1_values","ccontent","carbon_stock"
"1","D'Amore & Lynn (2002)","Totem 1","dysic Lithic Cryohemist",56.454228,-133.470332,"YES",NA,7,0,-7,7,0,0,0,0,"no",NA,0,0,0
"2","D'Amore & Lynn (2002)","Totem 1","dysic Lithic Cryohemist",NA,NA,NA,NA,30,7,-23,23,0.17,49.5,1,19354.5,"no",NA,1,-19160.955,-193.545
"3","D'Amore & Lynn (2002)","Totem 1","dysic Lithic Cryohemist",NA,NA,NA,NA,49,3,-46,46,0.17,41.5,17,32453,"no",NA,17,-26935.99,-324.53
"4","D'Amore & Lynn (2002)","Totem 1","dysic Lithic Cryohemist",NA,NA,NA,NA,70,49,-21,21,0.16,48.5,3,16296,"yes",NA,3,-15807.12,-162.96
"5","D'Amore & Lynn (2002)","Totem 2","euric Terric Cryohemist",56.454192,-133.469466,"YES",NA,20,0,-20,20,0.12,48,4,11520,"no",NA,4,-11059.2,-115.2
"6","D'Amore & Lynn (2002)","Totem 2","euric Terric Cryohemist",NA,NA,NA,NA,40,20,-20,20,0.2,45.5,9,18200,"no",NA,9,-16562,-182
"7","D'Amore & Lynn (2002)","Totem 2","euric Terric Cryohemist",NA,NA,NA,NA,72,40,-32,32,0.21,46,8,30912,"no",NA,8,-28439.04,-309.12
"8","D'Amore & Lynn (2002)","Totem 2","euric Terric Cryohemist",NA,NA,NA,NA,100,72,-28,28,0.17,41.5,17,19754,"no",NA,17,-16395.82,-197.54
"9","D'Amore & Lynn (2002)","Point Barrie 1","dysic Lithic Cryohemist",56.441824,-133.64086,"YES",NA,8,0,-8,8,0.07,49,2,2744,"no",NA,2,-2689.12,-27.44
"10","D'Amore & Lynn (2002)","Point Barrie 1","dysic Lithic Cryohemist",NA,NA,NA,NA,16,8,-8,8,0.14,46,8,5152,"yes",NA,8,-4739.84,-51.52
