"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","bulk_density","cf","cconc","ccontent_1m","depth_100","slope","cconc_y","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"1","KRANABETTER AND BANNER 2000","Rainbow1","Orthic Ferro-Humic Podozol",54.2402777777777,-130.051388888888,"HIGH","L",22,25,3,0.11,0,52.9566666666667,1747.57,3,17.6522222222222,26.4783333333333,"L",0,1747.57,17.4757,576.6981
"2","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2402777777777,-130.051388888888,"HIGH","Hr",7,22,15,0.11,0,52.9566666666667,8737.85,15,3.53044444444444,26.4783333333333,"H",0,8737.85,87.3785,14417.4525
"3","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2402777777777,-130.051388888888,"HIGH","Hh",0,7,7,0.11,0,52.9566666666667,4077.66333333333,7,7.5652380952381,26.4783333333333,"H",0,4077.66333333333,40.7766333333333,3139.80076666667
"4","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2402777777777,-130.051388888888,"HIGH","Ae",-7,0,7,0.93,0,2.94,1913.94,7,0.42,1.47,"A",0,1913.94,19.1394,12459.7494
"5","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2402777777777,-130.051388888888,"HIGH","Bhf",-20,-7,13,0.86,0,2.94,3286.92,13,0.226153846153846,1.47,"B",0,3286.92,32.8692,36747.7656
"6","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2402777777777,-130.051388888888,"HIGH","C",-25,-20,5,1.74,0,1.47,1278.9,5,0.294,0.735,"C",0,1278.9,12.789,11126.43
"7","KRANABETTER AND BANNER 2000","Alywn Lk2","Orthic Humo-Ferric Podzol",54.2144444444444,-130.240277777777,"HIGH","L",10,11,1,0.14,0,54.9766666666667,769.673333333333,1,54.9766666666667,27.4883333333333,"L",0,769.673333333333,7.69673333333333,107.754266666667
"8","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",54.2144444444444,-130.240277777777,"HIGH","Hr",1,10,9,0.14,0,54.9766666666667,6927.06,9,6.10851851851852,27.4883333333333,"H",0,6927.06,69.2706,8728.0956
"9","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",54.2144444444444,-130.240277777777,"HIGH","Hh",0,1,1,0.14,0,54.9766666666667,769.673333333333,1,54.9766666666667,27.4883333333333,"H",0,769.673333333333,7.69673333333333,107.754266666667
"10","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",54.2144444444444,-130.240277777777,"HIGH","Ae",-1,0,1,1.31,0,1.94,254.14,1,1.94,0.97,"A",0,254.14,2.5414,332.9234
