source,id,order,lat,lon,latlon_q,elevation,slope,aspect,horizon,depth2,depth1,depth,mineral_d,ff_d,total_d,bulk_density,cf,cconc,ccontent,total_c,ccontent_1m,total_c_1m
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.68611111,HIGH,"NA","NA","NA",Lv/S,7,6,1,100,7,107,0.16,NA,53.95,863.19999999999993,6818.007,863.19999999999993,65.52777
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.68611111,HIGH,"NA","NA","NA",Fm,6,2,4,NA,NA,NA,0.16,NA,21.77,1393.28,NA,1393.28,NA
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.68611111,HIGH,"NA","NA","NA",Hh,2,0,2,NA,NA,NA,0.16,NA,41.5,1328,NA,1328,NA
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.68611111,HIGH,"NA","NA","NA",Aeg,0,-3,3,NA,NA,NA,1.4770000000000001,NA,0.47,208.25699999999998,NA,208.25699999999998,NA
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.68611111,HIGH,"NA","NA","NA",Bmg,-3,-35,32,NA,NA,NA,1.585,NA,0.21,1065.1199999999999,NA,1065.1199999999999,NA
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.68611111,HIGH,"NA","NA","NA",BC,-35,-60,25,NA,NA,NA,1.585,NA,0.16,634,NA,634,NA
SANBORN & MASSICOTTE 2010,BC09-04,Gleyed Dystric Brunisol,54.07572222,-131.68611111,HIGH,"NA","NA","NA",Cg,-60,-110,50,NA,NA,NA,1.4735,NA,0.18,1326.1499999999999,NA,1060.9199999999998,NA
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.98222222,HIGH,"NA","NA","NA",Lv,13,12,1,100,13,113,0.16,NA,53.33,853.28,13974.841000000002,853.28,138.12196000000003
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.98222222,HIGH,"NA","NA","NA",Fm,12,11,1,NA,NA,NA,0.16,NA,50.78,812.48,NA,812.48,NA
SANBORN & MASSICOTTE 2010,BC09-01,Gleyed Dystric Brunisol,54.02630556,-131.98222222,HIGH,"NA","NA","NA",Hh,11,0,11,NA,NA,NA,0.16,NA,49.88,8778.880000000001,NA,8778.880000000001,NA
